status,product_area,response,justification,request_type
replied,dispute_resolution,"Based on Visa dispute documentation, a cardholder should contact their card issuer or bank to question a charge. Visa describes disputes as a process that starts when the cardholder raises the transaction with the issuer; Visa support cannot directly force a merchant refund from this ticket.",The ticket has a relevant match in the provided support corpus. Top source: Visa Consumer Support (support).,product_issue
escalated,security,"Thanks for sharing the details. I am escalating this to Claude support for security because it needs human review or account-specific handling. Please include any relevant account, transaction, workspace, or assessment details in the secure support channel.","The ticket asks for a sensitive, high-risk, account-specific, security, payment, or third-party decision. Top source: Claude Help Center (index).",bug
replied,privacy,"Based on Claude privacy documentation, site owners can limit Anthropic crawling through robots.txt. To block ClaudeBot for an entire site, add a ClaudeBot user-agent rule with Disallow: / for each domain or subdomain that should opt out.","The ticket has a relevant match in the provided support corpus. Top source: Does Anthropic crawl data from the web, and how can site owners block the crawler? (privacy_and_legal).",product_issue
replied,travel_support,"Based on Visa travel support documentation, Visa Global Customer Assistance Services can help with lost, stolen, or blocked cards and may provide emergency card replacement or emergency cash services. The user should contact Visa GCAS or their card issuer immediately.",The ticket has a relevant match in the provided support corpus. Top source: Visa Travel Services | Visa Travel Credit Card Support (consumer).,product_issue
replied,privacy,"Based on Claude privacy documentation, data use depends on the plan and settings. Claude documentation states that data shared for improving Claude is handled under its privacy controls, while enterprise and team retention policies may apply separately.",The ticket has a relevant match in the provided support corpus. Top source: I would like to input sensitive data into my chats with Claude. Who can view my conversations? (account_management).,product_issue
replied,conversation_management,"I can only help with HackerRank, Claude, and Visa support questions using the provided support corpus. This request is outside that scope, so I cannot complete it here.","The request is outside the supported product scope, so the agent can reply with a scope boundary. Top source: Use Skills in Claude (features_and_capabilities).",invalid
escalated,security,"Thanks for sharing the details. I am escalating this to Visa support for security because it needs human review or account-specific handling. Please include any relevant account, transaction, workspace, or assessment details in the secure support channel.","The ticket asks for a sensitive, high-risk, account-specific, security, payment, or third-party decision. Top source: Visa Travel Services | Visa Travel Credit Card Support (consumer).",product_issue
replied,amazon_bedrock,"Based on the Claude Amazon Bedrock support article, Claude in Amazon Bedrock support inquiries should go to AWS Support or the customer's AWS account manager. Community support is available through AWS re:Post.","The ticket has a relevant match in the provided support corpus. Top source: Use Claude for Excel, PowerPoint, and Word with third-party platforms (features_and_capabilities).",bug
replied,user_management,"Based on the provided HackerRank settings documentation, user access is managed from the company administration or team management settings. A company admin should remove or lock the user from the HackerRank hiring account; if the option is missing, the requester likely does not have the required admin permission.",The ticket has a relevant match in the provided support corpus. Top source: Mitigating Candidate Drop-Off (best_practice_guides).,product_issue
replied,education,"Based on Claude for Education documentation, instructors can set up Claude LTI through the supported learning management system flow. The setup should be handled by the institution's LMS or Claude education administrator because keys and integrations are admin-controlled.",The ticket has a relevant match in the provided support corpus. Top source: Set up the Claude LTI in Canvas by Instructure (claude_for_education).,product_issue
replied,dispute_resolution,"Based on Visa rules documentation, Visa provides public rules and an inquiry path for purchase issues. If a merchant is imposing a minimum card spend, the cardholder can report the in-store purchase issue or file a Visa rules inquiry through the Visa support process.",The ticket has a relevant match in the provided support corpus. Top source: Visa Consumer Support (support).,product_issue
